"Experiment","rep_number","accession_name","yield_ha","year","plot_name","location"
"201467BCEPR_mala","2","CM4919-1",0.625,"2014","201467BCEPR_mala_rep2_CM4919-1_59","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3523-70",2.25,"2014","201467BCEPR_mala_rep2_GM3523-70_56","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3523-72",5.25,"2014","201467BCEPR_mala_rep2_GM3523-72_103","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3551-46",20.625,"2014","201467BCEPR_mala_rep2_GM3551-46_82","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3563-18",3.75,"2014","201467BCEPR_mala_rep2_GM3563-18_61","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3587-41",0.75,"2014","201467BCEPR_mala_rep2_GM3587-41_84","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3587-51",6.25,"2014","201467BCEPR_mala_rep2_GM3587-51_90","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3593-70",1.5,"2014","201467BCEPR_mala_rep2_GM3593-70_107","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3609-108",7.25,"2014","201467BCEPR_mala_rep2_GM3609-108_69","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3609-113",9.875,"2014","201467BCEPR_mala_rep2_GM3609-113_93","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3609-122",1.875,"2014","201467BCEPR_mala_rep2_GM3609-122_60","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3621-18",2.375,"2014","201467BCEPR_mala_rep2_GM3621-18_65","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3623-27",0.5,"2014","201467BCEPR_mala_rep2_GM3623-27_83","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3628-33",0.375,"2014","201467BCEPR_mala_rep2_GM3628-33_66","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3647-23",4.625,"2014","201467BCEPR_mala_rep2_GM3647-23_80","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3649-109",7.25,"2014","201467BCEPR_mala_rep2_GM3649-109_89","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3649-68",17.875,"2014","201467BCEPR_mala_rep2_GM3649-68_91","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-41",9.375,"2014","201467BCEPR_mala_rep2_GM3650-41_81","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-42",0.625,"2014","201467BCEPR_mala_rep2_GM3650-42_105","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-46",8,"2014","201467BCEPR_mala_rep2_GM3650-46_104","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-49",2.25,"2014","201467BCEPR_mala_rep2_GM3650-49_79","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-51",4.75,"2014","201467BCEPR_mala_rep2_GM3650-51_68","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3650-57",1.875,"2014","201467BCEPR_mala_rep2_GM3650-57_87","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3652-21",12.75,"2014","201467BCEPR_mala_rep2_GM3652-21_67","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3658-73",9.375,"2014","201467BCEPR_mala_rep2_GM3658-73_71","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3658-75",4.75,"2014","201467BCEPR_mala_rep2_GM3658-75_98","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3658-81",3.625,"2014","201467BCEPR_mala_rep2_GM3658-81_88","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3666-77",13.125,"2014","201467BCEPR_mala_rep2_GM3666-77_70","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3667-49",4,"2014","201467BCEPR_mala_rep2_GM3667-49_86","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3667-55",4.75,"2014","201467BCEPR_mala_rep2_GM3667-55_99","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3667-64",1.75,"2014","201467BCEPR_mala_rep2_GM3667-64_85","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3667-85",19,"2014","201467BCEPR_mala_rep2_GM3667-85_77","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3675-49",2.375,"2014","201467BCEPR_mala_rep2_GM3675-49_57","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3675-52",1.5,"2014","201467BCEPR_mala_rep2_GM3675-52_62","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3699-111",4.125,"2014","201467BCEPR_mala_rep2_GM3699-111_96","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","GM3700-14",2.25,"2014","201467BCEPR_mala_rep2_GM3700-14_55","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3615-1",15.125,"2014","201467BCEPR_mala_rep2_SM3615-1_73","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3615-16",1.5,"2014","201467BCEPR_mala_rep2_SM3615-16_100","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3615-19",7,"2014","201467BCEPR_mala_rep2_SM3615-19_106","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3615-42",5.375,"2014","201467BCEPR_mala_rep2_SM3615-42_95","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3616-17",0.5,"2014","201467BCEPR_mala_rep2_SM3616-17_101","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3618-1",9.5,"2014","201467BCEPR_mala_rep2_SM3618-1_102","Malambo. Atlantico, Colombia"
"201467BCEPR_mala","2","SM3622-18",3.75,"2014","201467BCEPR_mala_rep2_SM3622-18_78","Malambo. Atlantico, Colombia"
