"Experiment","rep_number","accession_name","DM_gravity","year","plot_name","location"
"201468BCEPR_mala","1","GM4358-4",20.31177106,"2014","201468BCEPR_mala_rep1_GM4358-4_17","Malambo"
"201468BCEPR_mala","1","SM3673-29",25.33628402,"2014","201468BCEPR_mala_rep1_SM3673-29_23","Malambo"
"201468BCEPR_mala","1","SM3674-1",29.21020659,"2014","201468BCEPR_mala_rep1_SM3674-1_29","Malambo"
"201468BCEPR_mala","1","SM3677-47",20.07687707,"2014","201468BCEPR_mala_rep1_SM3677-47_45","Malambo"
"201468BCEPR_mala","1","SM3677-72",25.87598344,"2014","201468BCEPR_mala_rep1_SM3677-72_42","Malambo"
"201468BCEPR_mala","1","SM3677-74",22.21749703,"2014","201468BCEPR_mala_rep1_SM3677-74_35","Malambo"
"201468BCEPR_mala","1","SM3679-13",19.80107063,"2014","201468BCEPR_mala_rep1_SM3679-13_27","Malambo"
"201468BCEPR_mala","1","SM3679-21",19.21282502,"2014","201468BCEPR_mala_rep1_SM3679-21_46","Malambo"
"201468BCEPR_mala","1","SM3679-5",28.05429936,"2014","201468BCEPR_mala_rep1_SM3679-5_32","Malambo"
"201468BCEPR_mala","1","SM3679-8",21.55552712,"2014","201468BCEPR_mala_rep1_SM3679-8_12","Malambo"
